sample	SampleName
Sequencing_Method	Feature
Analyte	Feature
Biopsy_Site	Feature
Specific_Biopsy_Site	Feature
Metastatic_Biopsy	Feature
Sample_Treated	Feature
Sample_Treatment	Feature
Sample_Type	Feature
Normal	Feature
Primary_Tumor	Feature
Read_Length	Feature
Batch_ID	Feature
Sequencer	Feature
Sequencer_ID	Feature
Sample_Prep	Feature
FFPE	Feature
Storage	Feature
Storage_Method	Feature
File_Prefix	Feature
Run_Name	Feature
Pre_On_Treatment_Match	Feature
Somatic_Workflow_Match	Feature
Center	Feature
Patient_ID	Feature
TCGA_Study	Feature
TCGA_Subtype	Feature
Cancer_Tissue	Feature
Tissue_Subtype	Feature
M_Stage	Feature
Metastasized	Feature
Clinical_Stage	Feature
Response	Feature
Responder	Feature
Progression	Feature
Clinical_Benefit	Feature
OS	SurvivalID
OS.time	SurvivalTime
OS.event	Feature
PFI	SurvivalID
PFI.time	SurvivalTime
PFI.event	Feature
Age	Feature
Sex	Feature
Race	Feature
Caucasian	Feature
Asian	Feature
African	Feature
Nat_American	Feature
Pac_Islander	Feature
Likely_Caucasian	Feature
ICI_Rx	Feature
aPD1_Rx	Feature
aCTLA4_Rx	Feature
ICI_Pathway	Feature
ICI_Target	Feature
Non_ICI_Rx	Feature
NeoICI_Rx	Feature
ICI_Tx	Feature
aPD1_Tx	Feature
aCTLA4_Tx	Feature
aCTLA4_aPD1_Tx	Feature
Non_ICI_Tx	Feature
NeoICI_Tx	Feature
Prior_Rx	Feature
Prior_ICI_Rx	Feature
Prior_Tx	Feature
Prior_ICI_Tx	Feature
Prior_aCTLA4_Tx	Feature
Prior_aMAPK_Tx	Feature
Subsq_Rx	Feature
Subsq_ICI_Rx	Feature
Subsq_Tx	Feature
Subsq_ICI_Tx	Feature
Subsq_aCTLA4_aPD1_Tx	Feature
Subsq_aCTLA4_Tx	Feature
Subsq_aMAPK_Tx	Feature
Patient_Name	Feature
Dataset	Feature
IMPRES	Feature
TIDE_No_Benefits	Feature
TIDE_Responder	Feature
TIDE	Feature
TIDE_IFNG	Feature
TIDE_MSI	Feature
TIDE_CD274	Feature
TIDE_CD8	Feature
TIDE_CTL_Flag	Feature
TIDE_Dysfunction	Feature
TIDE_Exclusion	Feature
TIDE_MDSC	Feature
TIDE_CAF	Feature
TIDE_TAM_M2	Feature
TIDE_CTL	Feature
Dataset_Cancer_Tissue...95	Feature
Dataset_Cancer_Tissue...96	Feature
Choueiri_CCR_2016_Kidney	Feature
Gide_Cell_2019_Skin	Feature
HugoLo_IPRES_2016_Skin	Feature
IMmotion150_Kidney	Feature
IMVigor210_Bladder	Feature
Kim_NatMed_2018_Stomach	Feature
Liu_NatMed_2019_Skin	Feature
Miao_Science_2018_Kidney	Feature
Prins_GBM_2019_Brain	Feature
Riaz_Nivolumab_2017_Skin	Feature
VanAllen_antiCTLA4_2015_Skin	Feature
Zhao_NatMed_2019_Brain	Feature
Feature	Feature
B_cell_quantiseq_PreProcessedScore	Feature
Macrophage_M1_quantiseq_PreProcessedScore	Feature
Macrophage_M2_quantiseq_PreProcessedScore	Feature
Monocyte_quantiseq_PreProcessedScore	Feature
Neutrophil_quantiseq_PreProcessedScore	Feature
NK_cell_quantiseq_PreProcessedScore	Feature
T_cell_CD4+_(non-regulatory)_quantiseq_PreProcessedScore	Feature
T_cell_CD8+_quantiseq_PreProcessedScore	Feature
T_cell_regulatory_(Tregs)_quantiseq_PreProcessedScore	Feature
Myeloid_dendritic_cell_quantiseq_PreProcessedScore	Feature
uncharacterized_cell_quantiseq_PreProcessedScore	Feature
T_cell_mcp_counter_PreProcessedScore	Feature
T_cell_CD8+_mcp_counter_PreProcessedScore	Feature
cytotoxicity_score_mcp_counter_PreProcessedScore	Feature
NK_cell_mcp_counter_PreProcessedScore	Feature
B_cell_mcp_counter_PreProcessedScore	Feature
Monocyte_mcp_counter_PreProcessedScore	Feature
Macrophage/Monocyte_mcp_counter_PreProcessedScore	Feature
Myeloid_dendritic_cell_mcp_counter_PreProcessedScore	Feature
Neutrophil_mcp_counter_PreProcessedScore	Feature
Endothelial_cell_mcp_counter_PreProcessedScore	Feature
Cancer_associated_fibroblast_mcp_counter_PreProcessedScore	Feature
Myeloid_dendritic_cell_activated_xcell_PreProcessedScore	Feature
B_cell_xcell_PreProcessedScore	Feature
T_cell_CD4+_memory_xcell_PreProcessedScore	Feature
T_cell_CD4+_naive_xcell_PreProcessedScore	Feature
T_cell_CD4+_(non-regulatory)_xcell_PreProcessedScore	Feature
T_cell_CD4+_central_memory_xcell_PreProcessedScore	Feature
T_cell_CD4+_effector_memory_xcell_PreProcessedScore	Feature
T_cell_CD8+_naive_xcell_PreProcessedScore	Feature
T_cell_CD8+_xcell_PreProcessedScore	Feature
T_cell_CD8+_central_memory_xcell_PreProcessedScore	Feature
T_cell_CD8+_effector_memory_xcell_PreProcessedScore	Feature
Class-switched_memory_B_cell_xcell_PreProcessedScore	Feature
Common_lymphoid_progenitor_xcell_PreProcessedScore	Feature
Common_myeloid_progenitor_xcell_PreProcessedScore	Feature
Myeloid_dendritic_cell_xcell_PreProcessedScore	Feature
Endothelial_cell_xcell_PreProcessedScore	Feature
Eosinophil_xcell_PreProcessedScore	Feature
Cancer_associated_fibroblast_xcell_PreProcessedScore	Feature
Granulocyte-monocyte_progenitor_xcell_PreProcessedScore	Feature
Hematopoietic_stem_cell_xcell_PreProcessedScore	Feature
Macrophage_xcell_PreProcessedScore	Feature
Macrophage_M1_xcell_PreProcessedScore	Feature
Macrophage_M2_xcell_PreProcessedScore	Feature
Mast_cell_xcell_PreProcessedScore	Feature
B_cell_memory_xcell_PreProcessedScore	Feature
Monocyte_xcell_PreProcessedScore	Feature
B_cell_naive_xcell_PreProcessedScore	Feature
Neutrophil_xcell_PreProcessedScore	Feature
NK_cell_xcell_PreProcessedScore	Feature
T_cell_NK_xcell_PreProcessedScore	Feature
Plasmacytoid_dendritic_cell_xcell_PreProcessedScore	Feature
B_cell_plasma_xcell_PreProcessedScore	Feature
T_cell_gamma_delta_xcell_PreProcessedScore	Feature
T_cell_CD4+_Th1_xcell_PreProcessedScore	Feature
T_cell_CD4+_Th2_xcell_PreProcessedScore	Feature
T_cell_regulatory_(Tregs)_xcell_PreProcessedScore	Feature
immune_score_xcell_PreProcessedScore	Feature
stroma_score_xcell_PreProcessedScore	Feature
microenvironment_score_xcell_PreProcessedScore	Feature
B_cell_epic_PreProcessedScore	Feature
Cancer_associated_fibroblast_epic_PreProcessedScore	Feature
T_cell_CD4+_epic_PreProcessedScore	Feature
T_cell_CD8+_epic_PreProcessedScore	Feature
Endothelial_cell_epic_PreProcessedScore	Feature
Macrophage_epic_PreProcessedScore	Feature
NK_cell_epic_PreProcessedScore	Feature
uncharacterized_cell_epic_PreProcessedScore	Feature
Monocyte_conventional_abis_PreProcessedScore	Feature
NK_cell_abis_PreProcessedScore	Feature
T_cell_CD8+_memory_abis_PreProcessedScore	Feature
T_cell_CD4+_naive_abis_PreProcessedScore	Feature
T_cell_CD8+_naive_abis_PreProcessedScore	Feature
B_cell_naive_abis_PreProcessedScore	Feature
T_cell_CD4+_memory_abis_PreProcessedScore	Feature
T_cell_MAIT_abis_PreProcessedScore	Feature
T_cell_gamma_delta_VD2_abis_PreProcessedScore	Feature
Neutrophil_abis_PreProcessedScore	Feature
T_cell_gamma_delta_non-VD2_abis_PreProcessedScore	Feature
Basophil_abis_PreProcessedScore	Feature
Monocyte_non-conventional_abis_PreProcessedScore	Feature
B_cell_memory_abis_PreProcessedScore	Feature
Myeloid_dendritic_cell_abis_PreProcessedScore	Feature
Plasmacytoid_dendritic_cell_abis_PreProcessedScore	Feature
B_cell_plasma_immature_abis_PreProcessedScore	Feature
stroma_score_estimate_PreProcessedScore	Feature
immune_score_estimate_PreProcessedScore	Feature
estimate_score_estimate_PreProcessedScore	Feature
tumor_purity_estimate_PreProcessedScore	Feature
